altaren;church altar (het altaar)
aardbeving;earthquake
arm;poor,onderarm+bovernarm
aaien;to stroke
achterover;down,ahead
afsterven;to die off
achilleshiel;achilees heel
aanreiken;hand over
amper;nauwelijks
aanvullen;aanvullend,supplement
afvragen;demand,ask for
aantreffen;find
aanklacht;accusation
afkeuren;afkeurend,negative,disapprovingly
aankijken;look at
armoedig;poor
aller tijden;of all time
achterlijk;backwards
adembenemend;magnificent,breath taking
adem;breath
akker;the field
afgevallen;lost weight (afvallen)
asiel;animal shelter
aftuigen;slaan
afbladderen;in dunne lagjes loskomen van verf, peeling off
aanpak;tackle
aandringen;insist
ambtenaar;civil worker
aangrenzend;adjacent
aandachtig;attentive
aarzelen;hesitate
afwijking;deviation
afschuwelijk;verschrikkelijk
aankunnen;to manage, be a match for
aanpraten;talk into, tegen iemand iets praten
aandoen;aantrekken,harm,inflict
abdij;abbey
adel;nobility
acteursrol;acting role
aanmoedigen;encourage
assepoester;cindrella
afslachting;slaughter,massacre
aria;lied uit een opera
apotheose;apotheosis, make something divine
adelijke;iemand van adel
aanvankelijk;oorspronkelijk, in het begin
allerminst;helemaal niet
aubade;morning love song
aanknopingspunt;starting point, lead
aftakelen;achteruitgaan, deteriorate
autodidakt;autodidact, self learned
ader;vein
alomtegenwoordig;omnipresent

# to verify
achteruitgang;decline, deterioration
arend;eagle
afschaffing;abolition,elimination
afkomen;get rid of, come off
aalscholver;cormorant
afgezant;emissary,representative
asmogendheden;axis powers
aso;asociaal persoon
angstaanjagend;terrifying, scary, frightful
almaar;increasingly, doorgaand
afkondigen;proclaim,declare
afwenden;avert, turn off
afwennen;weaning,stop drinking
aantreden;take office
afkeer;aversion, resentment
aanwijzen;designate, point out, appoint
akelig;awfully, eerily
allochtoon;immigrant, foreigner
afremmen;slow down, brake
abrupt;plotseling
angel;stinger, steekorgaan van bij/wasp
aanhanger;devotee,believer,follower
aandacht;attention, focus

bezorgd;concerned,troubled
boomgaard;orchard
bevel;order,command
berg;mountain
betreurenswaardig;deplorable
bedelen;(1) to beg, (2) to assign, distribute
bezit;possession
blij;happy
besturen;to steer
burcht;castle(s)
besloten;closed,private
behaaren;grow hair, (behaard, hairy)
brancard;stretcher
bleek;pale,white from shock
bewusteloos;fainted
borst;breast
bontgekleurd;different bright coloured
bevolking;population
bungelen;dangling
bagatelliseren;trivialize
boosdoener;culprit
betrappen;catch,find out
beekje; streamlet
begeleiden;accompany
begenadigen;to gracefully give (begenadigd, gifted, talented)
blaten;gelud van schaap
blaffen;geluid van hond
brullen;geluid van leeuw
bestuursleden;board of directors
beurs;(stock) exchange
binnenvallen;invade
beloven;promise
benauwd;stuffy/suffocating
bloedserieus;very serious
bonken;thump,knock with fist
betoveren;bewitch,put a spell
bemoeien;interfere
bewegen;move,stir
bovendeurstukken;kunst boven de deur
bevinden;find
beweging;movement,motion
bewonderen;admire
behoeven;need
bezigheden;activities
bonzen;pound, throb, knock
