achteruitgang;decline, deterioration
slotbijeenkomst;final gathering, wrap up event
sip;sad, glum, telurgesteld
stikken;choke, suffocate

tegenspoed;situatie die niet gunstig is, het ongeluk, adversity, misfortune
tegenvoet;antipode, counterpart
trekschuit;tow boat, a boat pulled by a horse
thermiek;thermal
toestel;device, apparatus
troef;asset, trump, advantage
teisteren;plague, afflict, ravage
toegeroepen;stopped, halted
tastbaar;tangible, palpable
teef;vrouwelijke hond
trosten;comfort, console
tl-licht;fluorescent light
tweemaster;ketch, two masted sailboat
terstond;immediately, meteen

uitmoorden; kill, murder, exterminate
uitbreiden;extend, expand
uitheems;foreign, alien, exotic
uitwijken;swerve, deflect, emigrate
uittocht;exodus
uitkomen;come true, release, hatch
uitgever;publisher, editor

vlam vatten;catch fire
voortduren;continue, persist
verdrag;treaty, pact
vagevuur;purgatory
voortreffelijk;excellent
vierendeel;one-fourth,dismember


wantoestand;abuse, mismanagement
wedergeboorte;rebirth, regeneration
wedijveren;compete, rival
welvarend;prosperous, wealthy
witte doek;film doek,scherm
wederopbouw;reconstruction, rebuild
wankelen;shake, waver, stagger, niet stabiel
wond;wound, injury
waarnemer;observer, watcher
weerkaatsen;reflect, bounce
woerd;mannelijke eend, mallard
wilddief;poacher
waggelen;waddle, stagger

zijde;side, silk
zogen;suckle, nurse
zwaartekracht;gravity
zweefvliegtuig;glider
zetelen;sit, reside, throne
zeug;vrouwelijke varken, sow
aan kop zeuren;nag, criticise
zoemen;buzz, hum
zachtjes;gently, softly
een zootje van maken;rootzooi, make a mess
ze zijn het zat; fed up, tired of
zonnesteek;heat stroke
zoenen;kiss, kussen
zoëven;moment ago
zeepaardje;sea horse
zwierig;gracefully, elegant
zoom;edge, seam, kant
